case_id,case_type,borrower_type,industry,province,business_age,loan_amount,loan_term,risk_signal,result,reason,summary,diagnosis_chain,improvement_advice,recommended_bank,recommended_product,legal_policy_reference,is_synthetic,agent_usage
CASE-ENH-001,approved,小微企业,餐饮,广东省,3,300000,12,流水稳定；租金占比适中；无逾期,获批,现金流覆盖还款且材料完整,用户输入：月营收8万，月固定成本4万（其中租金2万），无逾期记录。推理：①盈利能力测算→年利润约48万；②偿债覆盖率=48/30=1.6倍>1.2倍安全线；③行业准入检查→餐饮业在广东省一般准入（接受度系数0.85）；④地域检查→广东省无特殊限制；⑤无征信负面记录。结论：现金流充足，通过率较高。,无建议（已获批）。可关注：①与银行建立长期关系，后续续贷可享受更优惠利率；②如扩张需要可申请额度上浮至40万,招商银行,招贷-小微企业信用贷,流动资金贷款管理办法,1,相似案例匹配；诊断过程教学；获批原因解释
CASE-ENH-002,approved,个体工商户,零售,浙江省,5,150000,12,经营3年；收单流水连续,获批,经营稳定且贷款用途清晰,用户输入：月营收4万，月固定成本1.5万，有银行收单流水，无其他负债。推理：①经营稳定性→经营5年且流水连续，经营年限因子1.0；②规模匹配→15万额度/4万月营收=3.75倍，合理；③行业准入→批发零售业浙江省正常准入（系数1.0）；④区域优势→浙江省信用贷款占比高，零售业受支持。结论：小额信用贷匹配度高。,无建议（已获批）。建议开通浙江省金融综合服务平台，提升未来大数据授信额度,网商银行,网商贷-信用贷,流动资金贷款管理办法,1,相似案例匹配；信用贷款成功案例分析
CASE-ENH-003,approved,小微企业,制造业,江苏省,8,800000,24,订单稳定；应收账款可核验；有保证人,获批,还款来源可验证且有增信,用户输入：年营收500万，月固定成本20万，近2年0逾期，有房产价值200万，有第三方保证人。推理：①经营年限因子→8年（满分）；②抵押加强→房产价值200万，覆盖贷款额度的2.5倍；③利润评估→年利润约260万，偿债覆盖率=260/80=3.25倍，极安全；④行业→制造业江苏省正常准入（系数1.0），政策加分（苏政发〔2025〕8号）；⑤地域→江苏制造业集群优势，调整为1.10。结论：优质客户，通过率极高。,无建议（已获批）。建议：①申请江苏省普惠金融贴息（制造业可能享受额外利率优惠）；②考虑增加供应链应收融资,工商银行,经营快贷,江苏省普惠金融实施意见/流动资金贷款管理办法,1,相似案例匹配；优质客户特征展示；区域政策利用
CASE-ENH-004,rejected,初创企业,软件服务,上海市,0.5,1000000,36,成立不足一年；收入波动；额度偏高,未获批,经营历史短且偿债覆盖不足,用户输入：成立6个月，月营收5万，月固定成本4万，无抵押物、无担保，申请100万。推理：①经营年限因子→0.5年，严重扣分（年限因子=0.3）；②偿债能力→年利润估算12万，偿债覆盖率=12/100=0.12倍，远低于1.2倍安全线；③抵押缺失→无房产/无担保，抵押因子0.5；④额度/营收比→100万/(5万*12)=1.67，偏高；⑤行业→软件服务上海正常准入（系数0.95），但科创属性加分仅适用于科企认定。结论：额度严重偏离实际偿债能力，申请量级需要大幅调整。,①降低申请额度：建议先申请10-20万小额贷款，积累信贷记录；②补充增信：引入第三方担保或申请上海市科技型小微企业认定；③优化经营：提升月营收至稳定10万+再申请；④使用政策：符合上海市普惠金融行动计划（沪府办发〔2025〕1号）条件，建议联系上海银行科创金融部,上海银行,上行普惠-科创信用贷,上海市普惠金融专项行动计划/流动资金贷款管理办法,1,相似案例匹配；被拒原因详解；改善路径引导
CASE-ENH-005,rejected,个体工商户,批发,广东省,2,500000,12,银行流水缺失；用途说明模糊,未获批,关键材料不足且用途无法核验,用户输入：经营2年，月营收约15万（无银行流水，仅口述），申请50万用于"扩大经营"但无具体方案。推理：①流水核验→无银行流水，无法验证营收真实性；②行业准入→批发零售业正常准入，但流水缺失导致信用评估无法完成；③贷款用途→"扩大经营"过于笼统，银行要求明确的资金使用计划和预期回报；④额度合理性→50万/(15万*12)=0.28倍，如果不考虑流水真实性，从额度比上看似合理，但因流水缺失无法确认。结论：材料严重不足，银行无法做出授信判断。,①核心：开通企业对公账户并保持至少6-12个月稳定银行流水；②明确用途：准备详细的扩大经营方案（如新增铺位合同、设备采购订单等）；③降低额度：建议从10-20万短期贷款开始，积累银行信贷记录；④补充材料：整理购销合同、收付款凭证等替代材料,中国银行,中银企E贷-信用贷,流动资金贷款管理办法,1,相似案例匹配；材料准备引导；流水重要性说明
CASE-ENH-006,overdue,小微企业,建筑装饰,湖北省,4,600000,12,项目回款延迟；应收账款集中于1个客户,逾期30天,单一项目回款延误导致流动性缺口,用户输入：经营4年，年营收约300万，应收账款240万集中在1个大型装饰项目，项目甲方回款延迟2个月，无法按期还贷。推理：①应收账款集中度→客户集中度100%（仅1个客户），极高风险；②流动性冲击→应收账款占年营收80%，一旦延迟即断流；③经营稳定性→4年经营，但过度依赖单一项目；④行业接受度→建筑装饰业湖北一般准入（系数0.85）。诊断：这不是信贷审批类问题，而是已贷后的流动性危机。,①立即沟通：主动联系贷款银行，说明项目回款延迟情况，申请展期或调整还款计划；②分散客源：将单一客户占比降至40%以下；③应收账款融资：将大型项目应收账款通过银行做保理融资，提前回笼资金；④建立备用金：未来将年利润10%-15%作为流动性储备金,建设银行,建行e信通-应收账款融资,小微企业续贷通知/流动资金贷款管理办法,1,相似案例匹配；逾期风险预警；流动性管理建议
CASE-ENH-007,default,小微企业,服装加工,广东省,6,900000,24,存货积压3个月；订单同比下降40%；已有高负债率,违约,现金流持续为负且去库存失败,用户输入：经营6年，年营收从800万降至500万，存货积压价值150万，已有银行贷款200万（月供8万），月固定成本15万。推理：①负债率→200万贷款/(500万年营收)=40%，偏高；②现金流→月均营收约42万，月固定成本15万+月供8万=23万，剩余19万；③存货积压→占压现金流150万，严重；④订单下降→订单同比下降40%，表明主营业务已恶化。结论：企业经营已进入下行周期，违约是现金流枯竭后的必然结果。,①立即止损：盘点存货，大幅降价清理积压库存回笼资金；②债务重组：与所有贷款银行沟通，争取债务重组（延长期限/降低月供）；③成本优化：降低固定成本（裁员/退租），尽可能保留核心生产力；④产业转型：考虑向电商代工等轻资产方向转型；⑤注意：D级纳税等级将严重影响未来融资能力,不适用,（已违约状态，建议债务重组为主）,民法典担保制度解释/流动资金贷款管理办法,1,相似案例匹配；违约预防教学；现金流管理警示
CASE-ENH-008,guarantee_dispute,小微企业,物流,四川省,7,700000,18,关联公司保证；内部决议资料不完整,发生担保纠纷,担保授权与审查存在争议,用户输入：经营7年，物流企业年营收约600万，申请贷款70万，由关联公司提供保证担保，但保证人公司股东会决议文件中缺少关键股东签字。推理：①担保效力风险→根据最高法民法典担保制度解释，公司对外担保必须经内部决议（股东会/董事会），缺少决议可能被认定担保无效；②关联关系→保证人与借款人为关联企业，进一步加大担保有效性争议风险；③银行审查→银行在放贷时未严格审查担保决议的完整性，放贷后发生纠纷，银行和企业均有责任。,①立即补救：补办保证人公司完整的股东会决议，确认担保有效性；②法律咨询：建议咨询律师，评估担保争议的法律后果和解决路径；③未来预防：所有贷款担保必须保留完整的内部决议文件（含签字盖章）；④替代方案：考虑用物流应收账款或车辆抵押替代关联方担保,不适用,（担保纠纷状态，建议法律解决为主）,民法典担保制度解释,1,相似案例匹配；担保风险教育；合规文件重要性
CASE-ENH-009,renewal,小微企业,农产品加工,山东省,5,400000,12,经营正常；临时周转；信用良好,完成续贷,持续经营且符合重新调查评审要求,用户输入：经营5年，年营收约300万，纳税等级B级，无逾期记录，上笔贷款40万已按期归还，因旺季需采购原材料申请续贷40万。推理：①续贷资格检查→根据金规〔2024〕13号，依法合规经营+信用良好+有持续融资需求，符合续贷条件；②额度合理→40万续贷与前期一致，未增加敞口，风险可控；③经营正常→年营收300万，纳税等级B，无负面信号；④行业→农产品加工业山东正常准入（系数0.90），山东农业大省有政策加持。结论：符合金规〔2024〕13号续贷条件，通过率高。,无建议（已获续贷）。提示：①关注山东省普惠金融高质量发展措施（鲁政办发〔2025〕6号），涉农企业可申请额外贴息；②建议将企业年度结算流水集中于贷款行，增强关系,农业银行,微捷贷,小微企业续贷通知/山东省普惠金融高质量发展措施,1,相似案例匹配；续贷流程教学；涉农政策利用
CASE-ENH-010,supply_chain,小微企业,汽车零部件,湖北省,9,1200000,12,核心企业订单可核验；回款路径清晰,获批,贸易背景真实且应收账款质量较好,用户输入：经营9年，年营收约800万，与东风汽车公司有长期供货合同，应收账款60天账期，回款记录良好。推理：①供应链融资优势→核心企业（东风汽车）为大型国企，应收账款质量高，坏账风险极低；②经营年限→9年，经营稳定系数满分；③供应链分析→上游供应商分散，下游客户集中（1个核心企业），但核心企业信用等级高，集中度风险可控；④应收账款质量→过去2年回款记录良好，无延期。结论：供应链融资场景成熟，120万基于真实贸易背景（占年营收15%），通过率高。,无建议（已获批）。提示：①可进一步开展东风汽车的订单融资，扩大融资规模至200万+；②建议将保理业务纳入常规融资方式；③关注湖北省科技金融行动计划（鄂政办发〔2025〕5号）可能的叠加优惠,建设银行,建行e信通-供应链融资,流动资金贷款管理办法,1,相似案例匹配；供应链融资教学；核心企业背书价值
